calrebound 0
Tuning rebound for mallet #0
  pass 1: sweep strike duration
R,90,250,S,4,1197,1089
R,90,250,S,8,1197,1089
R,90,250,S,12,4032,1089
R,90,250,S,16,4032,1089
R,90,250,S,20,6450,1089
R,90,250,S,24,6450,1089
R,90,250,S,29,5924,1089
R,90,250,S,33,5924,1089
R,90,250,S,37,5432,1089
R,90,250,S,41,5432,1089
R,90,250,S,45,3988,1089
R,90,250,S,49,3988,1089
R,90,250,S,53,3553,1089
R,90,250,S,57,3553,1089
R,90,250,S,61,3522,1089
R,90,250,S,65,3522,1089
R,90,250,S,69,2550,1089
R,90,250,S,73,2550,1089
R,90,250,S,77,2263,1089
R,90,250,S,81,2263,1089
R,90,250,S,85,2226,1089
R,90,250,S,89,2226,1089
R,90,250,S,93,2834,1089
R,90,250,S,97,2834,1089
R,90,250,S,101,3051,1089
R,90,250,S,105,3051,1089
R,90,250,S,109,3343,1089
R,90,250,S,113,3343,1089
R,90,250,S,117,3680,1089
R,90,250,S,121,3625,1089
R,90,250,S,125,3625,1089
R,90,250,S,129,3216,1089
R,90,250,S,133,3216,1089
R,90,250,S,137,2350,1089
R,90,250,S,141,2350,1089
R,90,250,S,145,2346,1089
R,90,250,S,149,2346,1089
R,90,250,S,154,3484,1089
R,90,250,S,158,3484,1089
R,90,250,S,162,333089,1089
R,90,250,S,166,333089,1089
R,90,250,S,170,366029,1089
R,90,250,S,174,366029,1089
R,90,250,S,178,307417,1089
R,90,250,S,182,307417,1089
R,90,250,S,186,226331,1089
R,90,250,S,190,226331,1089
R,90,250,S,194,153979,1089
R,90,250,S,198,153979,1089
R,90,250,S,202,161607,1089
R,90,250,S,206,161607,1089
R,90,250,S,210,167567,1089
R,90,250,S,214,167567,1089
R,90,250,S,218,149781,1089
R,90,250,S,222,149781,1089
R,90,250,S,226,124795,1089
R,90,250,S,230,124795,1089
R,90,250,S,234,80319,1089
R,90,250,S,238,80319,1089
R,90,250,S,242,153378,1089
R,90,250,S,246,106025,1089
R,90,250,S,250,106025,1089
R,90,250,S,254,80756,1089
R,90,250,S,258,80756,1089
R,90,250,S,262,74999,1089
R,90,250,S,266,74999,1089
R,90,250,S,270,100872,1089
R,90,250,S,274,100872,1089
R,90,250,S,279,119763,1089
R,90,250,S,283,119763,1089
R,90,250,S,287,105594,1089
R,90,250,S,291,105594,1089
R,90,250,S,295,98350,1089
R,90,250,S,299,98350,1089
R,90,250,S,303,92668,1089
R,90,250,S,307,92668,1089
R,90,250,S,311,60705,1089
R,90,250,S,315,60705,1089
R,90,250,S,319,48104,1089
R,90,250,S,323,48104,1089
R,90,250,S,327,43828,1089
R,90,250,S,331,43828,1089
R,90,250,S,335,30382,1089
R,90,250,S,339,30382,1089
R,90,250,S,343,29168,1089
R,90,250,S,347,29168,1089
R,90,250,S,351,20858,1089
R,90,250,S,355,20858,1089
R,90,250,S,359,21490,1089
R,90,250,S,363,21490,1089
R,90,250,S,367,19758,1089
R,90,250,S,371,14235,1089
R,90,250,T,4,14993,1089
R,90,250,T,8,14993,1089
R,90,250,T,12,12699,1089
R,90,250,T,16,12699,1089
R,90,250,T,20,11363,1089
R,90,250,T,24,11363,1089
R,90,250,T,29,8446,1089
R,90,250,T,33,8446,1089
R,90,250,T,37,7061,1089
R,90,250,T,41,7061,1089
R,90,250,T,45,6321,1089
R,90,250,T,49,6321,1089
R,90,250,T,53,6199,1089
R,90,250,T,57,6199,1089
R,90,250,T,61,6165,1089
R,90,250,T,65,6165,1089
R,90,250,T,69,4809,1089
R,90,250,T,73,4809,1089
R,90,250,T,77,3795,1089
R,90,250,T,81,3795,1089
R,90,250,T,85,4904,1089
R,90,250,T,89,4904,1089
R,90,250,T,93,5496,1089
R,90,250,T,97,5496,1089
R,90,250,T,101,5309,1089
R,90,250,T,105,5309,1089
R,90,250,T,109,3979,1089
R,90,250,T,113,3979,1089
R,90,250,T,117,3822,1089
R,90,250,T,121,3822,1089
R,90,250,T,125,4452,1089
R,90,250,T,129,4392,1089
R,90,250,T,133,4392,1089
R,90,250,T,137,4529,1089
R,90,250,T,141,4529,1089
R,90,250,T,145,4000,1089
R,90,250,T,149,4000,1089
R,90,250,T,154,13937,1089
R,90,250,T,158,13937,1089
R,90,250,T,162,63276,1089
R,90,250,T,166,63276,1089
R,90,250,T,170,94922,1089
R,90,250,T,174,94922,1089
R,90,250,T,178,90511,1089
R,90,250,T,182,90511,1089
R,90,250,T,186,74854,1089
R,90,250,T,190,74854,1089
R,90,250,T,194,47256,1089
R,90,250,T,198,47256,1089
R,90,250,T,202,39628,1089
R,90,250,T,206,39628,1089
R,90,250,T,210,30429,1089
R,90,250,T,214,30429,1089
R,90,250,T,218,23161,1089
R,90,250,T,222,23161,1089
R,90,250,T,226,25995,1089
R,90,250,T,230,25995,1089
R,90,250,T,234,18357,1089
R,90,250,T,238,18357,1089
R,90,250,T,242,15708,1089
R,90,250,T,246,15708,1089
R,90,250,T,250,12473,1089
R,90,250,T,254,11618,1089
R,90,250,T,258,11618,1089
R,90,250,T,262,14968,1089
R,90,250,T,266,14968,1089
R,90,250,T,270,10538,1089
R,90,250,T,274,10538,1089
R,90,250,T,279,7799,1089
R,90,250,T,283,7799,1089
R,90,250,T,287,8287,1089
R,90,250,T,291,8287,1089
R,90,250,T,295,6587,1089
R,90,250,T,299,6587,1089
R,90,250,T,303,4978,1089
R,90,250,T,307,4978,1089
R,90,250,T,311,4344,1089
R,90,250,T,315,4344,1089
R,90,250,T,319,3415,1089
R,90,250,T,323,3415,1089
R,90,250,T,327,3598,1089
R,90,250,T,331,3598,1089
R,90,250,T,335,3135,1089
R,90,250,T,339,3135,1089
R,90,250,T,343,2601,1089
R,90,250,T,347,2601,1089
R,90,250,T,351,2342,1089
R,90,250,T,355,2342,1089
R,90,250,T,359,2525,1089
R,90,250,T,363,2525,1089
